School Name,School URL,Staff Name,Degree,Research Interests,ORCID,URL
University of Cape Town - Graduate School of Business,https://www.gsb.uct.ac.za,Catherine Duggan,phd,,,https://www.gsb.uct.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Doris Viljoen,phd,,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Denise Botha,phd,,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Michael Datt,phd,,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Armand Bam,phd,,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Babita Mathur,phd,,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Nombeko Mbava,phd,,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Lize Barclay,phd,,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Sabastine Akongwale,phd,finance,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Candice Booysen,phd,,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Ferdie Lochner,phd,finance,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Muhammed Khan,phd,finance,,https://www.usb.ac.za
Stellenbosch University - Business School,https://www.usb.ac.za,Miyelani Holeni,unknown,,,https://www.usb.ac.za
University of the Witwatersrand - Wits Business School,https://www.wits.ac.za,Arthur Bleksley,unknown,,,https://www.wits.ac.za
